player_id,evaluation_period,position_group,observation_context,observed_sessions,data_source,technical_first_touch,technical_passing,technical_receiving_orientation,technical_ball_control,technical_dribbling,tactical_positioning,tactical_scanning,tactical_decision_making,tactical_support,tactical_transition_response,physical_acceleration,physical_change_of_direction,physical_repeat_effort,behaviour_communication,behaviour_concentration,behaviour_training_engagement,behaviour_response_to_feedback
Player_15,P2,Forward,Training,7,synthetic,3.0,3.0,4.0,3.0,3.0,4.0,2.0,4.0,4.0,3.0,2.0,,3.0,3.0,3.0,3.0,3.0
Player_15,P3,Forward,Match,7,synthetic,2.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0
Player_16,P1,Defender,Match,7,synthetic,3.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,,3.0,3.0,2.0,2.0
Player_16,P2,Defender,Match,4,synthetic,3.0,1.0,,2.0,,3.0,3.0,3.0,,2.0,2.0,1.0,2.0,2.0,3.0,,2.0
Player_16,P3,Forward,Mixed,7,synthetic,3.0,3.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0,3.0,1.0,2.0,2.0,3.0,3.0,3.0,3.0
Player_17,P1,Midfielder,Training,5,synthetic,3.0,,3.0,2.0,3.0,4.0,3.0,3.0,3.0,3.0,,3.0,4.0,3.0,,3.0,2.0
Player_17,P2,Defender,Match,5,synthetic,4.0,4.0,4.0,4.0,3.0,3.0,,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0,4.0
Player_17,P3,Defender,Training,3,synthetic,4.0,3.0,4.0,3.0,4.0,2.0,2.0,3.0,3.0,3.0,4.0,4.0,3.0,4.0,3.0,3.0,4.0
Player_18,P1,Forward,Training,5,synthetic,3.0,3.0,2.0,2.0,2.0,3.0,2.0,3.0,,2.0,,1.0,2.0,2.0,1.0,2.0,
Player_18,P2,Forward,Mixed,4,synthetic,3.0,2.0,3.0,3.0,3.0,3.0,2.0,,3.0,,2.0,2.0,2.0,,2.0,,2.0
Player_18,P3,Forward,Mixed,7,synthetic,3.0,3.0,2.0,2.0,3.0,3.0,3.0,2.0,2.0,3.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0
Player_19,P1,Defender,Training,4,synthetic,3.0,3.0,3.0,3.0,,3.0,3.0,4.0,2.0,3.0,3.0,3.0,4.0,3.0,,4.0,2.0
Player_19,P2,Defender,Mixed,8,synthetic,3.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,4.0,3.0,4.0,3.0,4.0,4.0,3.0,3.0,3.0
Player_19,P3,Defender,Mixed,7,synthetic,3.0,3.0,3.0,3.0,2.0,4.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,,3.0,3.0,4.0
Player_20,P1,Midfielder,Match,7,synthetic,3.0,3.0,3.0,3.0,3.0,3.0,,4.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,3.0
Player_20,P2,Forward,Training,5,synthetic,3.0,2.0,,,,3.0,4.0,5.0,5.0,4.0,,3.0,3.0,3.0,3.0,4.0,3.0
Player_20,P3,Forward,Training,7,synthetic,3.0,3.0,2.0,3.0,,4.0,,3.0,3.0,3.0,3.0,3.0,4.0,4.0,3.0,2.0,3.0
Player_21,P1,Forward,Mixed,5,synthetic,2.0,4.0,3.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,2.0,3.0,2.0,2.0,2.0
Player_21,P2,Forward,Training,8,synthetic,2.0,3.0,3.0,2.0,3.0,1.0,2.0,2.0,3.0,2.0,3.0,2.0,4.0,3.0,4.0,3.0,2.0
Player_21,P3,Forward,Match,2,synthetic,2.0,,2.0,3.0,2.0,2.0,3.0,3.0,3.0,2.0,,2.0,3.0,3.0,,,2.0
Player_22,P1,Defender,Mixed,2,synthetic,3.0,3.0,3.0,3.0,3.0,1.0,3.0,,2.0,2.0,,3.0,3.0,3.0,3.0,3.0,3.0
Player_22,P3,Defender,Mixed,3,synthetic,3.0,4.0,4.0,,4.0,2.0,1.0,,,2.0,,3.0,3.0,3.0,3.0,4.0,3.0
Player_23,P1,Midfielder,Training,8,synthetic,4.0,3.0,4.0,3.0,4.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,4.0,4.0,3.0,4.0
Player_23,P2,Midfielder,Mixed,4,synthetic,4.0,4.0,4.0,4.0,4.0,3.0,4.0,3.0,3.0,3.0,4.0,3.0,4.0,4.0,3.0,4.0,4.0
Player_23,P3,Midfielder,Match,4,synthetic,4.0,3.0,4.0,3.0,4.0,2.0,3.0,2.0,2.0,3.0,4.0,4.0,3.0,3.0,3.0,4.0,4.0
Player_24,P1,Forward,Training,7,synthetic,3.0,3.0,3.0,4.0,4.0,3.0,2.0,3.0,3.0,3.0,,3.0,3.0,3.0,3.0,3.0,3.0
Player_24,P2,Forward,Match,3,synthetic,3.0,3.0,3.0,,4.0,3.0,2.0,2.0,,2.0,3.0,3.0,4.0,3.0,3.0,,4.0
Player_24,P3,Forward,Match,5,synthetic,3.0,3.0,3.0,,3.0,3.0,4.0,3.0,4.0,4.0,4.0,4.0,3.0,2.0,3.0,3.0,3.0
